,排名,排名变化,高校名称,高校类型,高校条件,所在地,综合分数,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,学术人才,重大项目与成果,国际竞争力
65,66,-4.0,上海科技大学,综合,[],上海,288.7,33.4,6.0,22.7,44.2,132.7,13.3,0.0,15.2,3.2,18.0
66,67,7.0,中国石油大学（华东）,理工,"['一流学科', '211']",山东,287.4,27.6,20.9,5.4,35.6,147.0,17.1,7.3,5.0,8.7,13.0
67,68,-2.0,西南大学,综合,"['一流学科', '211']",重庆,286.5,26.4,28.0,5.8,37.6,131.2,26.8,2.1,7.4,8.1,13.2
68,69,2.0,中国矿业大学（北京）,理工,"['一流学科', '211']",北京,285.5,31.2,20.3,3.4,36.5,123.9,16.6,10.9,6.7,27.1,8.9
69,70,-5.0,深圳大学,综合,[],广东,280.4,25.5,22.7,10.4,37.4,107.8,32.1,3.9,11.1,6.8,22.6
70,71,8.0,陕西师范大学,师范,"['一流学科', '211']",陕西,280.1,33.2,21.8,4.3,37.8,131.0,23.1,0.5,8.0,7.4,13.2
71,72,0.0,江苏大学,综合,[],江苏,276.9,26.5,21.8,3.6,38.2,127.5,21.3,8.7,3.7,8.9,16.7
72,73,8.0,浙江工业大学,理工,[],浙江,275.6,27.6,19.3,3.0,29.5,142.5,22.8,5.5,5.7,5.8,13.9
73,74,3.0,北京林业大学,林业,"['一流学科', '211']",北京,275.0,28.5,18.2,3.4,39.2,138.3,19.4,2.6,5.4,10.5,9.5
74,75,-8.0,华南师范大学,师范,"['一流学科', '211']",广东,274.7,27.4,23.4,6.6,37.3,124.6,20.3,3.7,9.2,9.5,12.9
75,76,-8.0,西北农林科技大学,农业,"['一流大学B类', '985', '211']",陕西,273.7,27.9,17.9,5.3,40.0,130.2,24.6,1.6,7.0,5.6,13.5
76,77,-8.0,扬州大学,综合,[],江苏,269.5,25.9,22.8,4.1,36.3,125.1,19.6,3.6,5.1,11.7,15.2
77,78,9.0,南昌大学,综合,"['一流学科', '211']",江西,268.9,27.3,21.1,3.5,32.2,140.8,18.3,0.3,3.7,7.3,14.3
78,79,-3.0,福州大学,理工,"['一流学科', '211']",福建,267.7,28.6,18.6,3.3,35.0,130.8,22.4,5.5,5.4,1.5,16.6
