,排名,排名变化,高校名称,高校类型,高校条件,所在地,综合分数,办学层次,学科水平,办学资源,师资规模与结构,人才培养,科学研究,服务社会,学术人才,重大项目与成果,国际竞争力
294,295,-33.0,新疆师范大学,师范,[],新疆,131.2,,,,,,,,,,
295,296,-18.0,湖北师范大学,师范,[],湖北,130.8,,,,,,,,,,
296,297,5.0,重庆科技学院,理工,[],重庆,130.6,,,,,,,,,,
297,297,25.0,淮阴工学院,理工,[],江苏,130.6,,,,,,,,,,
298,297,41.0,吉林建筑大学,理工,[],吉林,130.6,,,,,,,,,,
299,300,-14.0,中原工学院,理工,[],河南,130.4,,,,,,,,,,
300,301,26.0,北华大学,综合,[],吉林,130.2,,,,,,,,,,
301,301,2.0,嘉兴学院,综合,[],浙江,130.2,,,,,,,,,,
302,303,34.0,临沂大学,综合,[],山东,129.8,,,,,,,,,,
303,304,-37.0,吉首大学,综合,[],湖南,129.7,,,,,,,,,,
304,305,-15.0,景德镇陶瓷大学,理工,[],江西,129.5,,,,,,,,,,
305,306,-11.0,广东技术师范大学,师范,[],广东,129.3,,,,,,,,,,
306,307,-7.0,淮北师范大学,师范,[],安徽,128.7,,,,,,,,,,
307,308,1.0,广东海洋大学,农业,[],广东,128.6,,,,,,,,,,
308,309,22.0,长江师范学院,师范,[],重庆,128.4,,,,,,,,,,
309,309,-12.0,宁波工程学院,理工,[],浙江,128.4,,,,,,,,,,
310,311,-39.0,上海海关学院,综合,[],上海,128.0,,,,,,,,,,
311,312,2.0,黑龙江八一农垦大学,农业,[],黑龙江,127.8,,,,,,,,,,
312,313,9.0,江西科技师范大学,师范,[],江西,127.0,,,,,,,,,,
313,314,30.0,安阳师范学院,师范,[],河南,125.9,,,,,,,,,,
314,314,-10.0,西南林业大学,林业,[],云南,125.9,,,,,,,,,,
315,316,-32.0,新疆农业大学,农业,[],新疆,125.5,,,,,,,,,,
316,317,-9.0,常熟理工学院,综合,[],江苏,125.2,,,,,,,,,,
317,318,6.0,闽南师范大学,师范,[],福建,124.9,,,,,,,,,,
318,318,-26.0,天津城建大学,理工,[],天津,124.9,,,,,,,,,,
319,320,-9.0,福建工程学院,理工,[],福建,124.7,,,,,,,,,,
320,321,-20.0,沈阳大学,综合,[],辽宁,124.5,,,,,,,,,,
321,322,-15.0,五邑大学,综合,[],广东,124.4,,,,,,,,,,
322,323,-9.0,内蒙古科技大学,综合,[],内蒙古,124.2,,,,,,,,,,
323,324,-27.0,江苏理工学院,理工,[],江苏,123.5,,,,,,,,,,
324,325,-15.0,上海第二工业大学,理工,[],上海,123.4,,,,,,,,,,
325,326,,浙大城市学院,理工,[],浙江,123.0,,,,,,,,,,
326,327,2.0,太原科技大学,理工,[],山西,122.7,,,,,,,,,,
327,328,25.0,岭南师范学院,师范,[],广东,122.6,,,,,,,,,,
328,329,-12.0,天津农学院,农业,[],天津,122.2,,,,,,,,,,
329,330,16.0,塔里木大学,综合,[],新疆,121.5,,,,,,,,,,
330,331,1.0,南京晓庄学院,师范,[],江苏,121.3,,,,,,,,,,
331,332,-20.0,大理大学,综合,[],云南,120.9,,,,,,,,,,
332,332,20.0,井冈山大学,综合,[],江西,120.9,,,,,,,,,,
333,334,-13.0,湖南理工学院,理工,[],湖南,120.8,,,,,,,,,,
334,334,-10.0,江苏海洋大学,理工,[],江苏,120.8,,,,,,,,,,
335,336,-2.0,台州学院,综合,[],浙江,120.6,,,,,,,,,,
336,337,-17.0,闽江学院,理工,[],福建,120.4,,,,,,,,,,
337,338,31.0,黄冈师范学院,师范,[],湖北,120.0,,,,,,,,,,
338,339,-4.0,重庆文理学院,综合,[],重庆,119.9,,,,,,,,,,
339,339,4.0,浙江万里学院,理工,[],浙江,119.9,,,,,,,,,,
340,341,-1.0,齐齐哈尔大学,综合,[],黑龙江,119.7,,,,,,,,,,
341,341,-28.0,四川轻化工大学,理工,[],四川,119.7,,,,,,,,,,
342,343,-13.0,南昌工程学院,理工,[],江西,119.6,,,,,,,,,,
343,344,-26.0,天津职业技术师范大学,师范,[],天津,119.4,,,,,,,,,,
344,345,14.0,上海电机学院,理工,[],上海,119.1,,,,,,,,,,
345,346,-13.0,湖北科技学院,综合,[],湖北,119.0,,,,,,,,,,
346,347,43.0,陕西理工大学,理工,[],陕西,118.8,,,,,,,,,,
347,348,57.0,内江师范学院,师范,[],四川,118.5,,,,,,,,,,
348,349,-3.0,合肥师范学院,师范,[],安徽,118.4,,,,,,,,,,
349,350,27.0,阜阳师范大学,师范,[],安徽,116.6,,,,,,,,,,
350,351,9.0,南阳师范学院,师范,[],河南,116.4,,,,,,,,,,
351,352,3.0,贵州师范学院,师范,[],贵州,116.2,,,,,,,,,,
352,353,-7.0,徐州工程学院,理工,[],江苏,115.8,,,,,,,,,,
353,354,3.0,洛阳师范学院,师范,[],河南,115.4,,,,,,,,,,
354,354,-26.0,仲恺农业工程学院,农业,[],广东,115.4,,,,,,,,,,
355,356,20.0,长春师范大学,师范,[],吉林,115.2,,,,,,,,,,
356,357,-19.0,湖北文理学院,综合,[],湖北,114.8,,,,,,,,,,
357,358,39.0,宝鸡文理学院,师范,[],陕西,114.5,,,,,,,,,,
358,359,41.0,安徽科技学院,师范,[],安徽,114.2,,,,,,,,,,
359,360,-14.0,长沙学院,理工,[],湖南,114.0,,,,,,,,,,
360,361,7.0,衡阳师范学院,师范,[],湖南,113.8,,,,,,,,,,
361,362,,无锡学院,综合,[],江苏,113.3,,,,,,,,,,
362,363,98.0,滨州学院,师范,[],山东,113.1,,,,,,,,,,
363,364,-9.0,长春大学,综合,[],吉林,112.8,,,,,,,,,,
364,365,-39.0,黑龙江科技大学,理工,[],黑龙江,112.6,,,,,,,,,,
365,365,31.0,泉州师范学院,师范,[],福建,112.6,,,,,,,,,,
366,367,-26.0,河北科技师范学院,师范,[],河北,112.0,,,,,,,,,,
367,368,-14.0,广西科技大学,理工,[],广西,111.8,,,,,,,,,,
368,369,-24.0,江苏第二师范学院,师范,[],江苏,111.5,,,,,,,,,,
369,370,-8.0,西藏农牧学院,农业,[],西藏,111.1,,,,,,,,,,
370,371,32.0,贵州理工学院,理工,[],贵州,111.0,,,,,,,,,,
371,371,130.0,咸阳师范学院,师范,[],陕西,111.0,,,,,,,,,,
372,373,19.0,九江学院,综合,[],江西,110.8,,,,,,,,,,
373,374,18.0,绵阳师范学院,师范,[],四川,110.6,,,,,,,,,,
374,375,-8.0,湖北汽车工业学院,理工,[],湖北,110.5,,,,,,,,,,
375,376,-25.0,常州工学院,理工,[],江苏,109.7,,,,,,,,,,
376,377,-41.0,金陵科技学院,综合,[],江苏,109.6,,,,,,,,,,
377,378,9.0,黑龙江工程学院,理工,[],黑龙江,109.4,,,,,,,,,,
378,378,-1.0,乐山师范学院,师范,[],四川,109.4,,,,,,,,,,
379,380,61.0,潍坊学院,综合,[],山东,109.2,,,,,,,,,,
380,381,-23.0,佳木斯大学,综合,[],黑龙江,108.8,,,,,,,,,,
381,382,10.0,唐山师范学院,师范,[],河北,108.5,,,,,,,,,,
382,383,55.0,山东交通学院,理工,[],山东,108.4,,,,,,,,,,
383,384,-18.0,广东石油化工学院,综合,[],广东,107.6,,,,,,,,,,
384,384,-23.0,河北建筑工程学院,理工,[],河北,107.6,,,,,,,,,,
385,386,-5.0,湖北工程学院,综合,[],湖北,107.4,,,,,,,,,,
386,387,-24.0,惠州学院,综合,[],广东,107.3,,,,,,,,,,
387,388,-2.0,成都工业学院,理工,[],四川,107.1,,,,,,,,,,
388,388,-19.0,丽水学院,师范,[],浙江,107.1,,,,,,,,,,
389,390,52.0,黄淮学院,师范,[],河南,106.8,,,,,,,,,,
390,391,14.0,许昌学院,理工,[],河南,106.7,,,,,,,,,,
391,392,-28.0,北华航天工业学院,理工,[],河北,106.6,,,,,,,,,,
392,393,-43.0,湖北第二师范学院,师范,[],湖北,106.5,,,,,,,,,,
393,394,-22.0,湖南第一师范学院,师范,[],湖南,106.2,,,,,,,,,,
394,395,6.0,湖南文理学院,综合,[],湖南,105.9,,,,,,,,,,
395,396,26.0,周口师范学院,师范,[],河南,105.7,,,,,,,,,,
396,397,53.0,成都师范学院,师范,[],四川,105.5,,,,,,,,,,
397,397,-22.0,重庆三峡学院,综合,[],重庆,105.5,,,,,,,,,,
398,397,-13.0,铜仁学院,综合,[],贵州,105.5,,,,,,,,,,
399,400,37.0,遵义师范学院,师范,[],贵州,105.4,,,,,,,,,,
400,401,45.0,上饶师范学院,师范,[],江西,105.0,,,,,,,,,,
401,402,8.0,商丘师范学院,师范,[],河南,104.8,,,,,,,,,,
402,403,10.0,宜春学院,综合,[],江西,104.7,,,,,,,,,,
403,403,13.0,浙江水利水电学院,理工,[],浙江,104.7,,,,,,,,,,
404,405,2.0,滁州学院,师范,[],安徽,104.6,,,,,,,,,,
405,406,13.0,吉林化工学院,理工,[],吉林,104.4,,,,,,,,,,
406,407,26.0,德州学院,综合,[],山东,104.1,,,,,,,,,,
407,408,-34.0,肇庆学院,综合,[],广东,104.0,,,,,,,,,,
408,409,71.0,泰山学院,综合,[],山东,103.5,,,,,,,,,,
409,410,-45.0,广东第二师范学院,师范,[],广东,103.2,,,,,,,,,,
410,411,-27.0,沈阳工程学院,理工,[],辽宁,102.7,,,,,,,,,,
411,412,99.0,榆林学院,师范,[],陕西,102.3,,,,,,,,,,
412,413,27.0,长春工程学院,理工,[],吉林,102.2,,,,,,,,,,
413,414,-43.0,洛阳理工学院,综合,[],河南,102.0,,,,,,,,,,
414,415,-12.0,韩山师范学院,师范,[],广东,101.3,,,,,,,,,,
415,416,,河北科技工程职业技术大学,理工,[],河北,101.2,,,,,,,,,,
416,416,104.0,天水师范学院,师范,[],甘肃,101.2,,,,,,,,,,
417,418,-46.0,北部湾大学,综合,[],广西,101.1,,,,,,,,,,
418,418,64.0,西安文理学院,师范,[],陕西,101.1,,,,,,,,,,
419,420,76.0,齐鲁师范学院,师范,[],山东,100.9,,,,,,,,,,
420,420,34.0,皖西学院,师范,[],安徽,100.9,,,,,,,,,,
421,422,22.0,哈尔滨学院,综合,[],黑龙江,100.6,,,,,,,,,,
422,423,-10.0,湖南城市学院,综合,[],湖南,100.3,,,,,,,,,,
423,423,61.0,通化师范学院,师范,[],吉林,100.3,,,,,,,,,,
424,425,-38.0,防灾科技学院,理工,[],河北,100.0,,,,,,,,,,
425,426,10.0,宜宾学院,综合,[],四川,99.9,,,,,,,,,,
426,427,,河北工业职业技术大学,理工,[],河北,99.5,,,,,,,,,,
427,428,83.0,兰州城市学院,综合,[],甘肃,99.4,,,,,,,,,,
428,429,-46.0,河南科技学院,师范,[],河南,99.2,,,,,,,,,,
429,430,38.0,宁夏师范学院,师范,[],宁夏,99.0,,,,,,,,,,
430,430,-43.0,曲靖师范学院,师范,[],云南,99.0,,,,,,,,,,
431,432,61.0,渭南师范学院,师范,[],陕西,98.9,,,,,,,,,,
432,433,-43.0,玉林师范学院,师范,[],广西,98.8,,,,,,,,,,
433,434,,南京特殊教育师范学院,师范,[],江苏,98.4,,,,,,,,,,
434,435,-40.0,华北科技学院,理工,[],河北,98.2,,,,,,,,,,
435,436,2.0,唐山学院,理工,[],河北,98.0,,,,,,,,,,
436,437,-26.0,韶关学院,综合,[],广东,97.9,,,,,,,,,,
437,438,76.0,河西学院,综合,[],甘肃,97.6,,,,,,,,,,
438,438,21.0,黄山学院,师范,[],安徽,97.6,,,,,,,,,,
439,440,-59.0,中国民用航空飞行学院,理工,[],四川,97.3,,,,,,,,,,
440,441,-39.0,湖南工程学院,理工,[],湖南,97.2,,,,,,,,,,
441,442,-12.0,三明学院,综合,[],福建,96.8,,,,,,,,,,
442,443,-27.0,泰州学院,师范,[],江苏,96.7,,,,,,,,,,
443,444,-65.0,湖北理工学院,理工,[],湖北,96.5,,,,,,,,,,
444,444,-64.0,石家庄学院,师范,[],河北,96.5,,,,,,,,,,
445,446,-37.0,莆田学院,综合,[],福建,96.3,,,,,,,,,,
446,447,-28.0,龙岩学院,综合,[],福建,96.2,,,,,,,,,,
447,448,15.0,内蒙古科技大学包头师范学院,综合,[],内蒙古,96.1,,,,,,,,,,
448,449,-17.0,安顺学院,综合,[],贵州,95.8,,,,,,,,,,
449,449,20.0,南昌师范学院,师范,[],江西,95.8,,,,,,,,,,
450,451,8.0,四川文理学院,综合,[],四川,95.5,,,,,,,,,,
451,452,-25.0,廊坊师范学院,师范,[],河北,95.2,,,,,,,,,,
452,452,-25.0,玉溪师范学院,师范,[],云南,95.2,,,,,,,,,,
453,454,-20.0,河南城建学院,理工,[],河南,95.1,,,,,,,,,,
454,455,-57.0,重庆第二师范学院,师范,[],重庆,95.0,,,,,,,,,,
455,456,16.0,西昌学院,综合,[],四川,94.9,,,,,,,,,,
456,457,-49.0,凯里学院,综合,[],贵州,94.8,,,,,,,,,,
457,457,-23.0,牡丹江师范学院,师范,[],黑龙江,94.8,,,,,,,,,,
458,459,-5.0,四川旅游学院,综合,[],四川,94.6,,,,,,,,,,
459,460,-62.0,郑州师范学院,师范,[],河南,94.4,,,,,,,,,,
460,461,27.0,大庆师范学院,综合,[],黑龙江,94.3,,,,,,,,,,
461,461,-49.0,攀枝花学院,综合,[],四川,94.3,,,,,,,,,,
462,463,-40.0,昆明学院,综合,[],云南,94.2,,,,,,,,,,
463,464,-49.0,衢州学院,理工,[],浙江,94.1,,,,,,,,,,
464,465,35.0,白城师范学院,师范,[],吉林,93.6,,,,,,,,,,
465,465,2.0,吉林工程技术师范学院,师范,[],吉林,93.6,,,,,,,,,,
466,467,12.0,淮南师范学院,师范,[],安徽,93.5,,,,,,,,,,
467,467,,湖州学院,师范,[],浙江,93.5,,,,,,,,,,
468,467,-24.0,嘉应学院,综合,[],广东,93.5,,,,,,,,,,
469,467,-42.0,南阳理工学院,理工,[],河南,93.5,,,,,,,,,,
470,467,-40.0,营口理工学院,理工,[],辽宁,93.5,,,,,,,,,,
471,472,45.0,商洛学院,综合,[],陕西,93.4,,,,,,,,,,
472,473,60.0,陇东学院,师范,[],甘肃,92.4,,,,,,,,,,
473,474,-44.0,保定学院,师范,[],河北,92.3,,,,,,,,,,
474,474,,苏州城市学院,综合,[],江苏,92.3,,,,,,,,,,
475,476,54.0,安康学院,综合,[],陕西,92.2,,,,,,,,,,
476,477,-23.0,湖南科技学院,综合,[],湖南,91.7,,,,,,,,,,
477,477,81.0,山东管理学院,综合,[],山东,91.7,,,,,,,,,,
478,479,-61.0,贵阳学院,综合,[],贵州,91.5,,,,,,,,,,
479,480,-32.0,辽宁科技学院,理工,[],辽宁,91.4,,,,,,,,,,
480,481,-36.0,武夷学院,综合,[],福建,91.3,,,,,,,,,,
481,482,-58.0,鞍山师范学院,师范,[],辽宁,91.2,,,,,,,,,,
482,483,9.0,湘南学院,理工,[],湖南,91.1,,,,,,,,,,
483,484,-7.0,六盘水师范学院,师范,[],贵州,90.9,,,,,,,,,,
484,485,17.0,河南牧业经济学院,农业,[],河南,90.7,,,,,,,,,,
485,485,1.0,平顶山学院,师范,[],河南,90.7,,,,,,,,,,
486,487,11.0,贺州学院,综合,[],广西,90.6,,,,,,,,,,
487,487,50.0,兰州工业学院,理工,[],甘肃,90.6,,,,,,,,,,
488,489,-25.0,宁德师范学院,师范,[],福建,90.5,,,,,,,,,,
489,490,-12.0,池州学院,师范,[],安徽,90.4,,,,,,,,,,
490,491,-30.0,黔南民族师范学院,师范,[],贵州,90.2,,,,,,,,,,
491,491,-72.0,太原师范学院,师范,[],山西,90.2,,,,,,,,,,
492,493,-5.0,宿州学院,师范,[],安徽,90.1,,,,,,,,,,
493,494,,山东石油化工学院,理工,[],山东,89.8,,,,,,,,,,
494,495,-26.0,海南热带海洋学院,综合,[],海南,89.7,,,,,,,,,,
495,496,3.0,黑河学院,综合,[],黑龙江,89.4,,,,,,,,,,
496,496,26.0,吉林农业科技学院,农业,[],吉林,89.4,,,,,,,,,,
497,496,-48.0,辽东学院,综合,[],辽宁,89.4,,,,,,,,,,
498,496,-70.0,山西大同大学,综合,[],山西,89.4,,,,,,,,,,
499,496,68.0,西安航空学院,理工,[],陕西,89.4,,,,,,,,,,
500,501,39.0,陕西学前师范学院,师范,[],陕西,89.3,,,,,,,,,,
501,501,7.0,四川民族学院,师范,[],四川,89.3,,,,,,,,,,
502,503,60.0,山东农业工程学院,综合,[],山东,88.8,,,,,,,,,,
503,504,-14.0,蚌埠学院,理工,[],安徽,88.3,,,,,,,,,,
504,505,-2.0,怀化学院,综合,[],湖南,87.9,,,,,,,,,,
505,506,13.0,新余学院,综合,[],江西,87.8,,,,,,,,,,
506,507,-22.0,邵阳学院,理工,[],湖南,87.7,,,,,,,,,,
507,508,-43.0,楚雄师范学院,师范,[],云南,87.4,,,,,,,,,,
508,508,-15.0,河南工程学院,理工,[],河南,87.4,,,,,,,,,,
509,510,28.0,济宁学院,师范,[],山东,87.3,,,,,,,,,,
510,511,-16.0,喀什大学,师范,[],新疆,87.2,,,,,,,,,,
511,512,44.0,兰州文理学院,综合,[],甘肃,86.9,,,,,,,,,,
512,513,-56.0,赤峰学院,综合,[],内蒙古,86.8,,,,,,,,,,
513,513,33.0,汉江师范学院,师范,[],湖北,86.8,,,,,,,,,,
514,515,-42.0,伊犁师范大学,师范,[],新疆,86.7,,,,,,,,,,
515,516,-41.0,贵州工程应用技术学院,师范,[],贵州,86.5,,,,,,,,,,
516,517,-67.0,邢台学院,师范,[],河北,86.4,,,,,,,,,,
517,518,-66.0,邯郸学院,师范,[],河北,86.2,,,,,,,,,,
518,518,-27.0,衡水学院,师范,[],河北,86.2,,,,,,,,,,
519,520,8.0,晋中学院,师范,[],山西,86.1,,,,,,,,,,
520,521,-38.0,梧州学院,综合,[],广西,86.0,,,,,,,,,,
521,522,25.0,菏泽学院,综合,[],山东,85.8,,,,,,,,,,
522,522,-65.0,红河学院,综合,[],云南,85.8,,,,,,,,,,
523,524,38.0,甘肃民族师范学院,师范,[],甘肃,85.7,,,,,,,,,,
524,525,-72.0,呼伦贝尔学院,综合,[],内蒙古,85.6,,,,,,,,,,
525,526,14.0,山东女子学院,综合,[],山东,85.4,,,,,,,,,,
526,527,-9.0,湖南人文科技学院,师范,[],湖南,84.8,,,,,,,,,,
527,528,-48.0,广州航海学院,理工,[],广东,84.6,,,,,,,,,,
528,528,-82.0,新乡学院,理工,[],河南,84.6,,,,,,,,,,
529,530,-20.0,百色学院,综合,[],广西,84.2,,,,,,,,,,
530,531,-56.0,沧州师范学院,师范,[],河北,83.9,,,,,,,,,,
531,532,2.0,景德镇学院,综合,[],江西,83.6,,,,,,,,,,
532,533,21.0,福建技术师范学院,师范,[],福建,83.4,,,,,,,,,,
533,533,,赣南科技学院,理工,[],江西,83.4,,,,,,,,,,
534,533,-60.0,广西民族师范学院,师范,[],广西,83.4,,,,,,,,,,
535,533,-46.0,荆楚理工学院,理工,[],湖北,83.4,,,,,,,,,,
536,537,-32.0,安阳工学院,理工,[],河南,83.2,,,,,,,,,,
537,538,,阿坝师范学院,师范,[],四川,82.8,,,,,,,,,,
538,538,-72.0,信阳农林学院,农业,[],河南,82.8,,,,,,,,,,
539,540,-44.0,巢湖学院,师范,[],安徽,82.6,,,,,,,,,,
540,541,-72.0,河北民族师范学院,师范,[],河北,82.5,,,,,,,,,,
541,542,-35.0,桂林航天工业学院,理工,[],广西,82.3,,,,,,,,,,
542,543,14.0,长治学院,师范,[],山西,82.2,,,,,,,,,,
543,544,-39.0,河池学院,综合,[],广西,81.0,,,,,,,,,,
544,545,-19.0,河北环境工程学院,综合,[],河北,80.9,,,,,,,,,,
545,546,-43.0,张家口学院,综合,[],河北,80.7,,,,,,,,,,
546,547,-38.0,湖南工学院,理工,[],湖南,80.6,,,,,,,,,,
547,548,-4.0,河南工学院,理工,[],河南,80.5,,,,,,,,,,
548,549,-36.0,兴义民族师范学院,师范,[],贵州,80.0,,,,,,,,,,
549,550,-22.0,绥化学院,综合,[],黑龙江,79.8,,,,,,,,,,
550,551,,温州理工学院,师范,[],浙江,79.2,,,,,,,,,,
551,552,-37.0,保山学院,师范,[],云南,79.0,,,,,,,,,,
552,553,-26.0,山东青年政治学院,综合,[],山东,78.9,,,,,,,,,,
553,554,-18.0,长沙师范学院,师范,[],湖南,78.8,,,,,,,,,,
554,555,-32.0,枣庄学院,综合,[],山东,78.1,,,,,,,,,,
555,555,-31.0,郑州工程技术学院,理工,[],河南,78.1,,,,,,,,,,
556,557,-25.0,运城学院,师范,[],山西,77.9,,,,,,,,,,
557,558,-28.0,文山学院,师范,[],云南,76.9,,,,,,,,,,
558,559,0.0,吕梁学院,师范,[],山西,76.3,,,,,,,,,,
559,560,-12.0,新疆工程学院,理工,[],新疆,75.5,,,,,,,,,,
560,561,-37.0,普洱学院,师范,[],云南,75.1,,,,,,,,,,
561,562,-12.0,萍乡学院,综合,[],江西,73.2,,,,,,,,,,
562,563,-4.0,集宁师范学院,师范,[],内蒙古,72.6,,,,,,,,,,
563,564,-29.0,滇西科技师范学院,师范,[],云南,72.2,,,,,,,,,,
564,565,-49.0,太原工业学院,理工,[],山西,71.8,,,,,,,,,,
565,566,-21.0,新疆理工学院,综合,[],新疆,71.7,,,,,,,,,,
566,567,,广西科技师范学院,师范,[],广西,71.5,,,,,,,,,,
567,568,-25.0,昭通学院,师范,[],云南,71.2,,,,,,,,,,
568,569,-48.0,忻州师范学院,师范,[],山西,71.1,,,,,,,,,,
569,570,,河北石油职业技术大学,理工,[],河北,70.7,,,,,,,,,,
570,571,-22.0,昌吉学院,师范,[],新疆,70.1,,,,,,,,,,
571,572,-33.0,琼台师范学院,师范,[],海南,69.8,,,,,,,,,,
572,573,-23.0,鄂尔多斯应用技术学院,综合,[],内蒙古,69.3,,,,,,,,,,
573,574,-19.0,黑龙江工业学院,理工,[],黑龙江,68.2,,,,,,,,,,
574,575,,新疆政法学院,综合,[],新疆,66.9,,,,,,,,,,
575,576,-26.0,山西能源学院,综合,[],山西,64.9,,,,,,,,,,
576,577,,赣东学院,理工,[],江西,64.2,,,,,,,,,,
577,578,-25.0,河套学院,综合,[],内蒙古,64.1,,,,,,,,,,
578,579,-13.0,亳州学院,师范,[],安徽,63.6,,,,,,,,,,
579,580,-38.0,豫章师范学院,师范,[],江西,62.1,,,,,,,,,,
580,581,-20.0,山西工程技术学院,理工,[],山西,61.9,,,,,,,,,,
581,582,-17.0,太原学院,理工,[],山西,58.2,,,,,,,,,,
